n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std,score,selected
793.0,220.0,63.29760403530895,156.70239596469102,0.28771638197867705,10.470318300336476,2.9403247666547023,0.9809206914343318,0.0,1.1924569606781006,231.0,36.39110928731351,231.0,0
45.0,956.0,298.0,658.0,0.3117154811715481,55.2761692597159,5.186360767347539,1.7403707040645335,0.0,0.9392931461334229,15.0,177.32891883318257,15.0,1
803.0,25.0,12.571606475716065,12.428393524283935,0.5028642590286426,3.351026170984033,-1.1531583299335868,0.23744299907356,0.0,1.112461805343628,433.0,6.663878195394203,433.0,0
792.0,820.0,493.459595959596,326.54040404040404,0.601779995072678,114.69495204036647,-1.2225447138973131,-0.0016302261280928038,1.0,1.1093010902404783,524.0,190.5928295714027,524.0,0
789.0,166.0,47.652724968314324,118.3472750316857,0.2870646082428574,8.438603840785401,2.8899726179868637,1.0885256928032192,0.0,1.2430288791656494,229.0,29.396183292808853,229.0,0
784.0,316.0,94.62372448979592,221.3762755102041,0.2994421661069491,17.395296995485122,3.314210838560053,1.2544729679211013,0.0,1.0579049587249756,238.0,58.09234291095864,238.0,0
19.0,890.0,433.8421052631578,456.15789473684197,0.4874630396215258,101.2516345734356,-0.6591518442675,0.9475337072903968,80.0,1.0491292476654053,11.0,207.71140854504367,11.0,0
124.0,861.0,381.8629032258065,479.1370967741937,0.4435109212843281,76.60846978611484,0.6410067699452869,1.3511038983021972,2.0,0.9245908260345459,59.0,172.7318677165163,59.0,0
63.0,393.0,220.46031746031747,172.53968253968253,0.5609677289066602,45.98410507976489,-0.8017470035253105,0.34703027131486885,1.0,0.968576192855835,39.0,81.97281716969536,39.0,0
48.0,533.0,238.91666666666663,294.08333333333337,0.4482489055659787,45.48466725858903,0.7730650878622156,1.404719388901487,13.0,0.955430030822754,25.0,101.47189807671276,25.0,0
25.0,950.0,518.88,431.12,0.5461894736842106,119.93982992461642,-1.0615636350966189,0.2385160175423246,11.0,1.0012879371643066,16.0,219.5938144241165,16.0,0
163.0,360.0,104.67484662576688,255.32515337423317,0.29076346284935245,16.459511619059366,5.557670552252107,1.329871129279136,0.0,1.0444931983947754,49.0,56.60790890906127,49.0,0
86.0,922.0,264.8720930232558,657.1279069767443,0.2872799273571104,40.4120930813656,0.1721126283052259,0.05914330045381365,253.0,1.0344460010528564,25.0,140.67148183009093,25.0,1
795.0,493.0,300.9459119496855,192.05408805031448,0.6104379552731958,71.37860381551698,-1.233492764277257,-0.08576111453007866,2.0,1.0965421199798584,532.0,116.93015350523571,532.0,0
791.0,353.0,161.30214917825538,191.69785082174462,0.4569465982386838,33.14625247410265,0.06483756389482354,1.1655429560277977,1.0,1.3609561920166016,387.0,72.53856928110638,387.0,0
794.0,631.0,295.97984886649874,335.02015113350126,0.4690647367139441,62.96315716737779,-0.132143583643761,1.1230011511949336,4.0,1.0420989990234375,403.0,134.2312739355963,403.0,0
795.0,92.0,53.53710691823899,38.46289308176101,0.5819250751982499,12.478914394606848,-1.2326064174814562,0.057655773342969466,1.0,1.3230409622192385,503.0,21.444194324081217,503.0,0
796.0,908.0,425.6783919597989,482.32160804020106,0.4688088017178403,89.24349772533455,-0.1390034711018604,1.1236148075671395,2.0,2.8763887882232666,404.0,190.36224874260586,404.0,0
10.0,69.0,21.9,47.1,0.3173913043478261,3.282950713218709,-0.9438539471530728,-0.6423473722936099,34.0,1.403181791305542,4.0,10.343543343017851,4.0,1
74.0,107.0,45.82432432432432,61.17567567567568,0.4282647133114423,8.618619738148878,1.4689573148357309,1.2531263960146053,3.0,1.446946144104004,36.0,20.12451521281711,36.0,0
813.0,541.0,155.48462484624847,385.5153751537515,0.2874022640411247,26.217911771764175,3.2516785187265853,1.0347254620397506,0.0,1.7898170948028564,236.0,91.22374821658545,236.0,1
79.0,899.0,272.1139240506329,626.8860759493672,0.3026851213021501,42.90040182327464,4.609510925254456,0.9549617244454488,16.0,1.2264492511749268,25.0,141.7327737773079,25.0,1
810.0,497.0,302.4691358024691,194.5308641975309,0.6085898104677447,72.0313178670468,-1.2724865609989406,-0.07201450136179864,1.0,1.4249989986419678,539.0,118.35774544382464,539.0,0
800.0,468.0,282.25625,185.74375,0.6031116452991453,64.4154359466669,-1.1936006283715952,-0.02517368959265671,1.0,1.4632258415222168,530.0,106.80516028622965,530.0,0
824.0,544.0,156.9902912621359,387.0097087378642,0.2885850942318675,27.439072844701425,3.524941508350956,1.1707982487331134,0.0,1.3122491836547852,240.0,95.0813932983494,240.0,0
88.0,678.0,418.9772727272728,259.02272727272725,0.6179605792437651,94.5816891767923,-1.2474474403124567,-0.10294562795968616,11.0,1.225322961807251,62.0,153.05456748153338,62.0,0
804.0,611.0,177.81218905472636,433.18781094527367,0.29101831269185985,31.483677600959894,3.9907751711327006,1.2180220373693165,0.0,1.3169717788696291,236.0,108.1845238869758,236.0,1
830.0,290.0,176.2710843373494,113.72891566265058,0.6078313253012049,40.43955973794785,-1.1897315735259493,-0.02301485014309381,1.0,1.7467970848083496,552.0,66.5308911446912,552.0,0
199.0,129.0,39.396984924623105,89.60301507537689,0.3054029839118071,7.031160562620512,1.8229822802292377,0.8405078290941921,0.0,1.3056447505950928,64.0,23.02256668406009,64.0,0
793.0,372.0,224.735182849937,147.26481715006304,0.6041268356181101,50.62873201038703,-1.1418701623271548,-0.006604149405442873,1.0,1.4639918804168701,526.0,83.80480558951902,526.0,0
822.0,63.0,37.83941605839416,25.16058394160584,0.6006256517205423,8.870281699355223,-1.1792246231024663,-0.08371577045261101,1.0,1.4470179080963137,540.0,14.768403037641768,540.0,0
790.0,538.0,322.173417721519,215.826582278481,0.5988353489247565,73.28016485611705,-1.1467334636160784,0.018765334927155968,1.0,1.728203058242798,520.0,122.37114089489842,520.0,0
785.0,849.0,399.30063694267517,449.69936305732483,0.4703187714283571,84.93986377252689,-0.2315592476179722,1.0936180664759918,2.0,1.631523847579956,396.0,180.6006243692224,396.0,0
